volcano_number;volcano_name;primary_volcano_type;last_eruption_year;country;region;subregion;latitude;longitude;elevation;tectonic_settings;evidence_category;major_rock_1;major_rock_2;major_rock_3;major_rock_4;major_rock_5;minor_rock_1;minor_rock_2;minor_rock_3;minor_rock_4;minor_rock_5;population_within_5_km;population_within_10_km;population_within_30_km;population_within_100_km
344090;Momotombo;stratovolcano;2016;Nicaragua;México and Central America;Nicaragua;12.423;-86.539;1270;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ; ; ; ;NA;100;1851;98583;3569021
323110;Mono Lake Volcanic Field;pyroclasticcone;1790;United States;Canada and Western USA;USA (California);38;-119.03;2121;Rift zone / Continental crust (>25 km);Eruption Dated;Dacite;Rhyolite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;1066;1066;1491;65028
323120;Mono-Inyo Craters;lavadome;1380;United States;Canada and Western USA;USA (California);37.804;-119.029;2796;Rift zone / Continental crust (>25 km);Eruption Dated;Rhyolite; ; ; ; ;Dacite;Trachybasalt / Tephrite Basanite;Trachyandesite / Basaltic Trachyandesite; ;NA;558;7393;9048;82160
390081;Montagu Island;shield;2007;United Kingdom;Antarctica;Antarctica and South Sandwich Islands;-58.445;-26.374;1370;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;0;0;0;0
390017;Morning;shield;Unknown;Antarctica;Antarctica;Antarctica and South Sandwich Islands;-78.5;163.53;2723;Intraplate / Continental crust (>25 km);Evidence Uncertain;Phonolite;Trachybasalt / Tephrite Basanite;Basalt / Picro-Basalt;Trachyandesite / Basaltic Trachyandesite; ;Trachyte / Trachydacite; ; ; ;NA;0;0;0;0
257001;Motlav;stratovolcano;Unknown;Vanuatu;Melanesia and Australia;Vanuatu;-13.67;167.67;411;Subduction zone / Intermediate crust (15-25 km);Evidence Credible;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;251;292;3768;7490
290100;Moyorodake [Medvezhia];stratovolcano;1999;Japan - administered by Russia;Kuril Islands;Kuril Islands;45.389;148.838;1124;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Dacite;Rhyolite; ; ; ; ; ;NA;11;42;600;4333
342130;Moyuta;stratovolcano;Unknown;Guatemala;México and Central America;Guatemala;14.03;-90.1;1662;Subduction zone / Continental crust (>25 km);Evidence Credible;Andesite / Basaltic Andesite; ; ; ; ;Dacite;Basalt / Picro-Basalt; ; ;NA;3457;15469;394687;7064437
223060;Muhavura;stratovolcano;Unknown;Uganda-Rwanda;Africa and Red Sea;Africa (central);-1.383;29.678;4103;Rift zone / Continental crust (>25 km);Evidence Credible;Trachybasalt / Tephrite Basanite;Trachyandesite / Basaltic Trachyandesite; ; ; ; ; ; ; ;NA;10680;197162;1189226;10833809
252021;Mundua;complex;Unknown;Papua New Guinea;Melanesia and Australia;New Britain;-4.624;149.339;171;Subduction zone / Continental crust (>25 km);Evidence Credible;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;489;501;6406;9419
263251;Muria;stratovolcano;-160;Indonesia;Indonesia;Java;-6.62;110.88;1625;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachybasalt / Tephrite Basanite;Trachyte / Trachydacite;Phonolite;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ; ;NA;212;7653;1587867;13061031
300060;Mutnovsky;complex;2000;Russia;Kamchatka and Mainland Asia;Kamchatka Peninsula;52.449;158.196;2288;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ;Andesite / Basaltic Andesite;Dacite; ; ;NA;0;0;97;250858
284070;Myojinsho;submarine;1970;Japan;Japan, Taiwan, Marianas;Izu, Volcano, and Mariana Islands;31.888;139.918;11;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Dacite;Andesite / Basaltic Andesite;Rhyolite; ; ; ; ; ; ;NA;0;0;0;242
283100;Myokosan;stratovolcano;-750;Japan;Japan, Taiwan, Marianas;Honshu;36.891;138.114;2454;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;1563;11033;561142;4118863
245030;Nabukelevu;lavadome;1660;Fiji;New Zealand to Fiji;Fiji Islands;-19.12;177.98;805;Subduction zone / Crustal thickness unknown;Eruption Dated;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;269;1379;4523;21730
282040;Nakanoshima;stratovolcano;1914;Japan;Japan, Taiwan, Marianas;Ryukyu Islands and Kyushu;29.859;129.857;979;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Andesite / Basaltic Andesite;Dacite; ; ; ; ; ; ; ;NA;137;170;364;14037
222040;Namarunu;shield;-6550;Kenya;Africa and Red Sea;Africa (eastern);1.98;36.43;817;Rift zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;Trachyte / Trachydacite;Rhyolite; ; ; ; ; ; ;NA;47;537;7073;186674
283141;Nantaisan;stratovolcano;-9540;Japan;Japan, Taiwan, Marianas;Honshu;36.765;139.491;2486;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;Dacite;Basalt / Picro-Basalt; ; ; ; ; ; ;NA;781;12768;128931;11079746
341095;Naolinco Volcanic Field;pyroclasticcone;-1200;Mexico;México and Central America;Mexico;19.67;-96.75;2000;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;Andesite / Basaltic Andesite;Trachybasalt / Tephrite Basanite; ; ;Trachyandesite / Basaltic Trachyandesite;Trachyte / Trachydacite; ; ;NA;108824;108824;739767;4184323
283200;Naruko;caldera;837;Japan;Japan, Taiwan, Marianas;Honshu;38.729;140.734;470;Subduction zone / Continental crust (>25 km);Eruption Observed;Rhyolite;Dacite; ; ; ; ; ; ; ;NA;54771;54771;210262;4417058
283150;Nasudake;stratovolcano;1963;Japan;Japan, Taiwan, Marianas;Honshu;37.125;139.963;1915;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Dacite; ; ; ; ; ; ;NA;639;5802;298717;5725203
273082;Natib;stratovolcano;Unknown;Philippines;Philippines and SE Asia;Luzon;14.72;120.4;1253;Subduction zone / Continental crust (>25 km);Evidence Uncertain;Andesite / Basaltic Andesite;Basalt / Picro-Basalt;Dacite; ; ; ; ; ; ;NA;450;4977;1050509;25524080
353050;Negra, Sierra;shield;2018;Ecuador;South America;Galapagos Islands;-0.83;-91.17;1124;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;408;408;983;9884
344070;Negro, Cerro;pyroclasticcone;1999;Nicaragua;México and Central America;Nicaragua;12.506;-86.702;728;Subduction zone / Continental crust (>25 km);Eruption Observed;Basalt / Picro-Basalt; ; ; ; ; ; ; ; ;NA;1690;10243;296320;3540933
344092;Nejapa-Miraflores;fissurevent;1060;Nicaragua;México and Central America;Nicaragua;12.12;-86.32;360;Subduction zone / Continental crust (>25 km);Eruption Dated;Basalt / Picro-Basalt;Andesite / Basaltic Andesite; ; ; ;Dacite; ; ; ;NA;295906;870837;1610426;3062823
